Poste;LongMiniFerme;LongMini;LongMaxi;LongMaxiFerme;HautMiniFerme;HautMini;HautMaxi;HautMaxiFerme;EpaiMiniFerme;EpaiMini;EpaiMaxi;EpaiMaxiFerme
CU;500;1000;4000;8000;;;;;;;;
GPS;;;;;1700;;2000;;;;;
Ligne PP/PV;;;;;;;;;;;;
Table retournement PP/PV;;;;11400;;;3710;;;;;
Table de relevage PP/PV;;;9170;;;;;5350;;;;
Porte U3 côté PP/PV;;;;4428;;;;5049;;;;
Porte U3 côté GPS;;;;4270;;;;4850;;;;
Porte U1 côté MOB;;;;;;;;5250;;;;
Porte U1 côté Finition;;;;4930;;;;5810;;;;
PMF;1300;;;14750;;;2880;4070;;;;
V5;1300;;;13800;;1095;2945;4000;100;200;300;400
Table papillon MOB;1300;;11000;13000;;950;;;;;;
Table de relevage MOB;;;;;;;;;;;;
Ligne 83°;1650;;;24600;740;;2650;;;;;
Ligne 90°;;;;;;;;;;;;
Ligne sur A;;;;;;;;;;;;
Rack palonnier;;;;;;;;;;;;
Rack renforcé;;;;;;;;;;;;
Rack INSA;;;;;;;;;;;;
Paquet;;;;;;;;;;;;
Tautliner;;;;12000;;;;2300;;;;
Plateau Standard;;;;;;;;2600;;;;
Plateau Surbaissé;;;;;;;;3100;;;;
Plateau Extra-Surbaissé;;;;;;;;3500;;;;
